symbol,spot_price,spot_price_chg_pct,total_traded_vol,delivery_vol_pct,futures_ltp,futures_price_chg_pct,futures_oi,futures_oi_prev,futures_oi_chg_pct,futures_buildup,pcr_ratio,imm_resistance_strike,imm_resistance_strength,imm_resistance_rating,imm_resistance_buildup,imm_support_strike,imm_support_strength,imm_support_rating,imm_support_buildup,global_ce_wall,global_pe_wall,max_pain,risk_flag_code,risk_alert_title,risk_description
COROMANDEL,2039.3,-0.73,59854,44.77%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
CROMPTON,255.7,-1.04,3784342,54.58%,253.45,-0.88,54418650,54023050,0.73,Short Buildup,0.555,257.5,88,STRONG,–,255.0,39,WEAK,–,275.0,240.0,265.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 255.0 (WEAK) | Resistance at 257.5 (STRONG).
CUMMINSIND,5586,0.05,322364,56.82%,5596.0,0.13,4820000,4547400,5.99,Long Buildup,0.669,5600.0,70,MODERATE,–,5550.0,85,STRONG,–,5700.0,5200.0,5550.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 5550.0 (STRONG) | Resistance at 5600.0 (MODERATE).
DABUR,426.5,0.09,897737,43.53%,426.9,0.21,29731250,29260000,1.61,Long Buildup,0.689,430.0,83,STRONG,–,425.0,77,MODERATE,–,450.0,400.0,435.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 425.0 – 430.0.
DEEPAKNTR,1696,-0.72,95795,47.17%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
DIVISLAB,7386.5,0.77,371324,55.21%,7350.0,0.48,3824100,3721600,2.75,Long Buildup,0.594,7400.0,88,STRONG,–,7350.0,0,WEAK,–,7500.0,6650.0,7100.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 7350.0 (WEAK) | Resistance at 7400.0 (STRONG).
DIXON,13882,-1.67,417536,21.11%,13834.0,-1.36,2287300,2233700,2.4,Short Buildup,0.545,13900.0,100,STRONG,–,13800.0,50,MODERATE,–,14500.0,13000.0,13500.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 13800.0 (MODERATE) | Resistance at 13900.0 (STRONG).
DLF,651.5,-3.29,3637181,40.50%,645.5,-3.06,38701100,38699200,0.0,Short Buildup,0.614,655.0,53,MODERATE,–,650.0,60,MODERATE,–,680.0,650.0,650.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 650.0 (MODERATE) | Resistance at 655.0 (MODERATE).
DMART,4000.5,0.63,324607,56.22%,4014.0,1.16,4930200,4930200,0.0,Flat,0.494,4050.0,76,MODERATE,–,4000.0,43,WEAK,–,4700.0,4000.0,4000.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 4000.0 (WEAK) | Resistance at 4050.0 (MODERATE).
DRREDDY,1182.8,-1.92,2528082,47.50%,1178.0,-2.66,14408125,14385000,0.16,Short Buildup,1.186,1190.0,41,WEAK,–,1180.0,67,MODERATE,–,1400.0,1170.0,1240.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1180.0 (MODERATE) | Resistance at 1190.0 (WEAK).
EICHERMOT,7632,-0.75,409800,55.86%,7642.0,-0.65,3796100,3653800,3.89,Short Buildup,0.538,7650.0,65,MODERATE,–,7600.0,45,WEAK,–,8000.0,6800.0,7400.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 7600.0 (WEAK) | Resistance at 7650.0 (MODERATE).
ESCORTS,2948.4,-0.26,50786,53.50%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
EXIDEIND,447.85,0.99,4528760,43.51%,447.5,0.89,20206800,20206800,0.0,Flat,0.378,450.0,87,STRONG,–,447.5,100,STRONG,–,450.0,420.0,420.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 447.5 (STRONG) | Resistance at 450.0 (STRONG).
FEDERALBNK,353.25,-0.79,4288304,53.55%,353.45,-0.87,83957500,81890000,2.52,Short Buildup,0.821,355.0,59,MODERATE,–,352.5,44,WEAK,–,360.0,330.0,340.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 352.5 (WEAK) | Resistance at 355.0 (MODERATE).
FINNIFTY,26188.85,-1.29,–,–,26222.0,-1.44,26760,26340,1.59,Short Buildup,0.921,26200.0,48,WEAK,–,26150.0,57,MODERATE,–,27500.0,26000.0,26500.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 26150.0 (MODERATE) | Resistance at 26200.0 (WEAK).
GAIL,173.01,-0.56,9198076,69.44%,172.84,-0.56,72650750,72423550,0.31,Short Buildup,0.515,174.0,55,MODERATE,–,173.0,26,WEAK,–,180.0,170.0,173.0,AIR_POCKET_DOWNSIDE,💀 DOWNSIDE AIR POCKET RISK,Weak support at 173.0 (26/100) with thin PE backing for 2-3 strikes below. High flush risk.
GMRINFRA,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
GNFC,506.15,0.23,143676,52.00%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
GODREJCP,1068.8,1.38,523442,45.18%,1074.4,1.9,10719000,10429500,2.78,Long Buildup,0.745,1070.0,45,WEAK,–,1060.0,77,MODERATE,–,1100.0,1020.0,1070.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1060.0 (MODERATE) | Resistance at 1070.0 (WEAK).
GODREJPROP,2081.1,-3.84,928740,35.29%,2074.7,-3.66,7511725,7335900,2.4,Short Buildup,0.772,2100.0,81,STRONG,–,2080.0,71,MODERATE,–,2160.0,1900.0,2000.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 2080.0 (MODERATE) | Resistance at 2100.0 (STRONG).
GRANULES,853.8,-2.5,1607330,47.44%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
GUJGASLTD,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
